,0,1,2,3,4,5,6,7,8,9,10,11
11,hokB,ynfF,yeaV,yeeF,yojL,ypjJ,yqeC,yghF,dkgA,yqjC,yhcB,sthA
12,JW5227,JW5261,JW5294,JW5331,JW5374,JW5425,JW5923,JW5490,JW5927,JW5519,JW5540,JW5553
13,yncK,ynfH,yeaW,yoeB,menD,ygaQ,ygfK,yghQ,ygiB,yhaO,yhcN,argB
14,JW5230,JW5264,JW5298,JW5343,JW5387,JW5446,JW5469,JW5491,JW5505,JW5526,JW5543,JW5555
15,yncN,ynfK,yobH,gatY,torI,exo,ygfT,yghS,yqiC,garR,yhdJ,ptsA
0,JW5557,JW5571,JW5609,JW5637,JW5654,JW5665,JW5676,JW5694,JW5705,JW5718,JW5736,JW5746
1,yijE,bipA,trkD,yicN,yiaB,bcsA,rbbA,yrfA,gspL,yjcB,yjeI,fklB
2,JW5560,JW5574,JW5611,JW5641,JW5655,JW5942,JW5677,JW5696,JW5706,JW5721,JW5737,JW5747
3,kdgT,yihF,atpI,ttk,yiaF,bcsC,yhhJ,yhfY,gspI,yjcS,ecnA,ytfH
4,JW5562,JW5580,JW5612,JW5643,JW5656,JW5943,JW5680,JW5697,JW5949,JW5729,JW5738,JW5749
5,frvB,tatB,yieL,yicR,tiaE,yhjK,yhhT,yhfU,yrdD,yjcZ,sugE,ytfK
6,JW5929,JW5588,JW5613,JW5644,JW5940,JW5668,JW5945,JW5698,JW5711,JW5730,JW5739,JW5753
7,yiiE,yigI,yieK,htrL,bisC,kdgK,yhhS,frlR,yjbF,eptA,yjeM,ytfT
8,JW5566,JW5589,JW5631,JW5645,JW5659,JW5669,JW5682,JW5700,JW5713,JW5731,JW5741,JW5754
9,yihX,rarD,cbrA,yibQ,yhjY,hdeB,dcrB,frlB,ubiC,adiA,rnr,yjfF
10,JW5567,JW5590,JW5633,JW5648,JW5660,JW5670,JW5683,JW5701,JW5714,JW5732,JW5743,JW5756
11,yihW,yigG,yidQ,yiaY,eptB,yhiD,yhhL,yhfK,zur,yjdO,yjfO,yjgK
12,JW5568,JW5601,JW5634,JW5650,JW5663,JW5672,JW5691,JW5703,JW5950,JW5734,JW5744,JW5757
13,yihV,wzzE,emrD,sgbU,bcsF,yhiQ,gntX,yheO,yjbN,dipZ,ulaA,yjgL
14,JW5569,JW5605,JW5636,JW5651,JW5941,JW5674,JW5692,JW5704,JW5716,JW5735,JW5745,JW5758
15,yihS,ilvD,yicO,yiaN,yhjQ,yhiK,hslO,gspM,yjbO,dcuA,ytfB,yjgM
0,JW5759,JW5778,JW5793,JW4263,JW5501,JW5586,JW5708,JW5008,JW5020,JW5042,JW5062,JW5083
1,yjgN,yjhA,yjjN,sgcE,ygiQ,rhtC,smf,yacG,fadE,ykgG,ylaB,ybdF
2,JW5763,JW5779,JW5794,JW5429,JW5509,JW5591,JW5748,JW5010,JW5022,JW5893,JW5063,JW5086
3,yjgX,fimI,mdoB,srlA,yqiI,yigE,ytfI,yadD,yafX,yahH,ylaC,fepA
4,JW5764,JW5782,JW5795,JW5430,JW5518,JW5596,JW5752,JW5012,JW5023,JW5044,JW5066,JW5090
5,yjgX,yjiD,yjjA,srlE,yhaM,rffT,ytfR,clcA,ykfF,yahM,ybbM,ybeB
6,JW5768,JW5783,JW5796,JW5467,JW5520,JW5610,JW5954,JW5013,JW5030,JW5051,JW5070,JW5091
7,yjhB,yjiH,yjjP,ygfQ,tdcG,yieM,yjiV,cdaR,yagV,yaiU,ybcJ,ybeQ
8,JW5769,JW5784,JW5797,JW5477,JW5558,JW5627,JW5213,JW5014,JW5031,JW5053,JW5073,JW5094
9,yjhC,kptA,yjjZ,yggP,cpxP,dgoR,rzoR,yaeI,ykgK,yaiZ,fimZ,ybfG
10,JW5770,JW5785,JW5801,JW5925,JW5576,JW5628,JW5382,JW5016,JW5033,JW5056,JW5079,JW5095
11,yjhD,yjiL,yjjX,yghJ,trkH,dgoA,yfdI,yaeF,ykgL,yajI,rzpD,ybfH
12,JW5952,JW5786,JW0478,JW5487,JW5931,JW5629,JW5946,JW5017,JW5037,JW5058,JW5081,JW5096
13,yjhU,yjiM,ybbK,glcE,tatD,dgoD,gntR,yafD,ykgA,yajQ,ybcV,kdpE
14,JW5775,JW5791,JW2879,JW5500,JW5585,JW5699,JW5005,JW5019,JW5039,JW5059,JW5082,JW5098
15,yjhH,yjiY,ygfA,yqhG,rhtB,frlC,yabI,yafV,ykgI,yajR,cusS,ybgO
0,JW5099,JW5114,JW5130,JW5151,JW5166,JW5180,JW5202,JW5217,JW5177,JW5247,JW5265,JW5283
1,ybgQ,ybjK,yccU,yceK,ymfE,ycgN,ycjR,paaD,ymgD,yneI,ydgJ,ydjY
2,JW5102,JW5116,JW5131,JW5152,JW5168,JW5181,JW5205,JW5221,JW5237,JW5248,JW5267,JW5284
3,ybhT,ybjT,yccX,yceP,ymfI,hlyE,abgA,ydbD,yncM,marR,slyA,ynjB
4,JW5103,JW5120,JW5133,JW5153,JW5169,JW5185,JW5206,JW5224,JW5238,JW5249,JW5270,JW5285
5,ybhJ,ycaI,ymcD,flgH,ymfT,dhaH,ydaM,cybB,sfcA,marA,ydhO,ynjC
6,JW5105,JW5123,JW5136,JW5155,JW5172,JW5186,JW5207,JW5226,JW5239,JW5250,JW5272,JW5287
7,ybiX,ycbV,ymdF,yceF,stfE,dhaL,ydaQ,ydcI,bdm,eamA,ydhV,ynjE
8,JW5107,JW5124,JW5137,JW5157,JW5173,JW5187,JW5208,JW5228,JW5240,JW5252,JW5273,JW5288
9,ybiN,ycbF,ycdG,ycfM,icdC,dhaK,lar,ydcM,ddpA,ydfO,sufB,ynjI
10,JW5108,JW5126,JW5139,JW5158,JW5174,JW5196,JW5210,JW5229,JW5241,JW5253,JW5275,JW5289
11,ybiO,ycbX,ycdL,ycfP,ycgG,yciO,ydaG,ydcO,yddV,gnsB,ydiO,ydjH
12,JW5109,JW5127,JW5147,JW5159,JW5901,JW5197,JW5211,JW5232,JW5243,JW5255,JW5276,JW5291
13,fsaA,ymbA,ycdZ,ycfQ,ycgH,yciQ,ydaW,ydcX,ydeN,essQ,ydiQ,yeaJ
14,JW5113,JW5128,JW5150,JW5164,JW5178,JW5200,JW5216,JW5233,JW5245,JW5263,JW5280,JW5292
15,ybjI,yccS,ymdC,ymfA,ymgG,yciW,ydbL,yncA,yneE,clcB,pfkB,yeaP
0,JW5295,JW5308,JW5335,JW5349,JW5361,JW5381,JW5404,JW5418,JW5437,JW5455,JW5481,JW5805
1,yoaB,yecN,nudD,yehL,yeiW,yfcM,sseB,yfjO,rpoS,yqeJ,mltC,hyfI
2,JW5296,JW5309,JW5336,JW5350,JW5362,JW5384,JW5405,JW5419,JW5438,JW5456,JW5503,JW5803
3,yoaC,yecM,yegH,yehP,yeiP,yfdL,yphG,yfjP,ygbF,ygeI,tolC,ybhR
4,JW5300,JW5310,JW5338,JW5351,JW5371,JW5388,JW5406,JW5422,JW5440,JW5457,JW5531,JW5142
5,proQ,yecT,mdtA,yehR,yfaZ,ypdA,yphH,ypjA,ygcQ,pbl,deaD,ycdR
6,JW5301,JW5312,JW5339,JW5352,JW5372,JW5389,JW5407,JW5424,JW5444,JW5458,JW5577,JW5442
7,yebU,otsA,yegP,yehT,yfbE,ypdH,yfhK,ypjC,ygcE,ygeK,yigZ,ygcU
8,JW5302,JW5317,JW5340,JW5353,JW5373,JW5391,JW5408,JW5426,JW5445,JW5460,JW5707,JW5507
9,yebV,yodD,gatR,yehU,yfbJ,yfeA,yfhB,yqaC,ygcG,ygeN,gspD,yqiG
10,JW5303,JW5319,JW5344,JW5355,JW5376,JW5395,JW5409,JW5427,JW5450,JW5461,JW5776,JW5542
11,yebW,yedS,fbaB,pbpG,yfbT,yfeW,yfiP,ygaT,ygdB,ygeQ,sgcX,yhdP
12,JW5306,JW5323,JW5345,JW5356,JW5377,JW5400,JW5412,JW5428,JW5451,JW5475,JW5800,JW3566
13,yebB,yodB,yegX,yohC,yfcE,yfgH,yfiL,ygaY,ppdB,rpiA,nadR,rhsA
14,JW5307,JW5329,JW5346,JW5358,JW5380,JW5402,JW5415,JW5431,JW5454,JW5476,JW5441,JW0692
15,yecD,dacD,yohN,yohH,trmC,yfgJ,yfjD,gutQ,yqeH,ygfI,ygcR,ybfO
0,JW0689,JW1282,JW2729,JW0026,JW1464,JW5416,JW3350,JW0119,JW2335,JW1554,JW1407,JW1784
1,rhsC,ycjD,ygcK,fkpB,narU,recN,dam,cueO,yfcU,hokD,ynbC,yeaQ
2,JW1451,JW1822,JW0272,JW2875,JW5948,JW2703,JW3610,JW0969,JW0049,JW1555,JW1445,JW1965
3,rhsE,yebS,yagL,ubiH,yhfZ,mutS,mutM,ymcC,apaG,relE,yncC,yeeO
4,JW0696,JW2528,JW0746,JW2758,JW4064,JW2799,JW3626,JW5146,JW0617,JW1769,JW1449,JW2054
5,ybfD,yphB,modA,gudD,phnE,mutH,trmH,ycdW,crcA,yeaD,yncG,yegD
6,JW0194,JW0055,JW3381,JW4056,JW4367,JW2862,JW3677,JW1321,JW1055,JW1804,JW1495,JW2060
7,metI,yabP,malT,phnM,thrL,xerD,recF,ycjZ,mviM,yoaD,ydeP,mdtB
8,JW0323,JW0285,JW3386,JW3518,JW5076,JW2928,JW3718,JW1494,JW1347,JW0124,JW1528,JW1089
9,prpB,yagX,glpR,tag,ylcG,mutY,gidB,ydeO,kil,yadH,ydeH,hinT
10,JW1730,JW0345,JW1651,JW3530,JW5198,JW2987,JW3719,JW1504,JW1370,JW0196,JW1621,JW0700
11,ydjQ,yaiL,ydhB,glyS,yciX,parC,gidA,ydeV,uspF,gmhB,rsxC,ybgI
12,JW1780,JW0820,JW3384,JW1572,JW2549,JW3038,JW3720,JW2097,JW1536,JW0802,JW1668,JW1678
