,0,1,2,3,4,5,6,7,8,9,10,11
0,JW1950,JW1262,JW2361,JW2805,JW0872,JW0662,JW4024,JW4287,JW1702,JW0419,JW0714,JW1268
1,hchA,btuR,dsdC,galR,lrp,nagC,soxR,uxuR,ihfA,cyoD,sdhB,acnA
2,JW2201,JW4094,JW3046,JW0895,JW2807,JW3195,JW4023,JW2396,JW3732,JW0420,JW0716,JW1413
3,ada,cadC,ebgR,ihfB,lysR,nanR,soxS,xapR,rbsR,cyoC,sucB,gapC
4,JW4077,JW1966,JW3232,JW3964,JW1612,JW0019,JW2644,JW3254,JW1901,JW0421,JW0717,JW5906
5,adiY,cbl,envR,hupA,malI,nhaR,stpA,zntR,sdiA,cyoB,sucC,gapC
6,JW0553,JW1724,JW0555,JW0430,JW4079,JW0109,JW3089,JW0198,JW2676,JW0422,JW0739,JW1603
7,appY,chbR,envY,hupB,melR,pdhR,tdcA,yafC,srlR,cyoA,galM,fumC
8,JW3206,JW1023,JW1176,JW2883,JW3909,JW0244,JW4200,JW0596,JW0007,JW0506,JW0886,JW1604
9,argR,csgD,fadR,argP,metJ,perR,treR,ybdO,talB,fdrA,pflB,fumA
10,JW3721,JW5894,JW3229,JW4221,JW3804,JW4063,JW4356,JW0624,JW0111,JW0711,JW0960,JW1666
11,asnC,cynR,fis,idnR,metR,phnF,trpR,ybeF,aceF,sdhC,appC,pykF
12,JW0305,JW3905,JW1328,JW3746,JW0337,JW1650,JW1316,JW5917,JW0114,JW0712,JW0961,JW1841
13,betI,cytR,fnr,ilvY,mhpR,purR,tyrR,rcsC,acnB,sdhD,appB,zwf
14,JW3701,JW0824,JW2776,JW0075,JW1967,JW3877,JW1610,JW0078,JW0324,JW0713,JW1228,JW1843
15,bglG,deoR,fucR,leuO,nac,rhaR,uidR,fruR,prpC,sdhA,adhE,pykA
0,JW2011,JW2279,JW0563,JW3923,JW4113,JW0612,JW1601,JW2213,JW3169,JW3882,JW4361,JW3077
1,gnd,nuoF,cusB,pflD,frdC,citB,rstB,atoS,rpoN,cpxA,creB,yhaK
2,JW2271,JW2280,JW2943,JW3928,JW4114,JW0683,JW1871,JW2366,JW5536,JW3883,JW4362,JW1644
3,nuoN,nuoE,glcB,ppc,frdB,kdpD,cheY,evgA,arcB,cpxR,creC,rnt
4,JW2272,JW5875,JW3205,JW3974,JW4115,JW0797,JW1872,JW2367,JW3368,JW3967,JW4364,JW2294
5,nuoM,nuoB,mdh,aceB,frdA,dps,cheB,evgS,ompR,zraS,arcA,pta
6,JW2273,JW2283,JW3343,JW3975,JW4346,JW0980,JW1877,JW2453,JW3624,JW3968,JW3021,JW0855
7,nuoL,nuoA,yhfW,aceA,deoB,torR,cheA,narQ,rpoZ,zraR,glgS,poxB
8,JW2274,JW2385,JW3349,JW3985,JW4358,JW1116,JW1899,JW2538,JW3643,JW4073,JW1186,JW1375
9,nuoK,glk,rpe,pgi,ytjC,phoP,uvrY,yfhA,uhpB,basS,treA,ldhA
10,JW2275,JW2447,JW3587,JW4051,JW0389,JW1212,JW1951,JW2757,JW3644,JW4074,JW2034,JW2121
11,nuoJ,maeB,gpmI,rpiB,phoB,narL,yedV,barA,uhpA,basR,cpsB,dld
12,JW2277,JW2448,JW3887,JW4083,JW0390,JW1213,JW2181,JW2993,JW3839,JW4085,JW3730,JW3580
13,nuoH,talA,pfkA,fumB,phoR,narX,narP,qseB,glnG,dcuR,rbsB,lldD
14,JW2278,JW2449,JW3918,JW4112,JW0611,JW1600,JW2205,JW2994,JW3840,JW4086,JW1235,JW0675
15,nuoG,tktB,fsaB,frdD,citA,rstA,rcsB,qseC,glnL,dcuS,oppA,pgm
0,JW0710,JW3703,JW1874,JW0318,JW2293,JW2633,JW0554,JW1088,JW0561,JW2815,JW2144,JW1645
1,gltA,pstB,tap,yahL,ackA,yqaD,ompT,fhuE,cusC,yqeI,yeiE,lhr
2,JW0723,JW0401,JW0945,JW0110,JW2369,JW0449,JW0755,JW2462,JW3996,JW2818,JW3557,JW3753
3,cydB,tsx,helD,aceE,yfdV,hha,ybhC,nlpB,lamB,ygeF,yiaU,rhlB
4,JW5478,JW2096,JW5905,JW0112,JW2373,JW1502,JW1010,JW0940,JW1499,JW2824,JW3689,JW2560
5,tktA,yehB,hrpA,lpd,ypdI,ydeU,ycdS,ompA,ydeT,ygeL,yidZ,srmB
6,JW2334,JW2044,JW0764,JW4191,JW2421,JW2142,JW3556,JW2203,JW4275,JW0120,JW4290,JW1797
7,yfcT,wcaA,moaA,fbp,yfeU,cirA,yiaT,ompC,fimB,gcd,yjiE,yoaA
8,JW2342,JW3285,JW0117,JW0560,JW2497,JW2784,JW1795,JW0912,JW5780,JW4195,JW1587,JW0104
9,yfdF,gspA,speE,cusR,yfgM,mltA,yeaY,ompF,fimD,cybC,ynfL,ppdD
10,JW0564,JW3354,JW0530,JW3367,JW2585,JW2671,JW3474,JW1371,JW4276,JW3896,JW1337,JW0145
11,cusA,hofQ,renD,envZ,yfiN,mltB,slp,ompN,fimE,glpX,dbpA,mrcB
12,JW1771,JW3454,JW0100,JW3393,JW2621,JW0731,JW0188,JW2047,JW3113,JW5896,JW0058,JW0157
13,mipA,yhiI,coaE,glgC,yfjV,pal,nlpE,wza,yraJ,ybhD,hepA,degP
14,JW0146,JW3043,JW0243,JW2486,JW2629,JW1270,JW2341,JW0790,JW2762,JW1788,JW0144,JW0227
15,fhuA,aer,ykfA,ppk,ypjB,pgpB,fadL,fiu,yqcB,yeaT,hrpB,pepD
0,JW0322,JW0915,JW1818,JW2669,JW2911,JW3930,JW3465,JW4217,JW2221,JW2250,JW2332,JW2393
1,prpR,pepN,htpX,recA,sprT,argC,prlC,pepA,yfaS,yfbH,yfcR,yfeC
2,JW0427,JW0957,JW1834,JW2688,JW2939,JW3902,JW3434,JW4291,JW2222,JW2252,JW2350,JW2394
3,clpP,hyaD,ptrB,hycH,pppA,hslU,zntA,iadA,yfaS,yfbW,yfdK,yfeD
4,JW0428,JW1113,JW2005,JW2687,JW2961,JW3903,JW3412,JW4352,JW2223,JW2267,JW2352,JW2412
5,clpX,pepT,hisH,hycI,hybD,hslV,ggt,radA,yfaT,yfbM,yfdM,yfeK
6,JW0429,JW1172,JW2066,JW2712,JW3100,JW3869,JW3297,JW2150,JW2224,JW2270,JW2355,JW2425
7,lon,umuD,yegQ,nlpD,agaR,frvX,gspO,yeiL,yfaA,yfbP,yfdO,yfeY
8,JW0483,JW1264,JW2325,JW2723,JW3098,JW3823,JW3981,JW2152,JW2232,JW2288,JW2357,JW2426
9,tesA,sohB,mepA,iap,sohA,pepQ,pepE,yeiN,yfaH,yfbR,yfdQ,yfeZ
10,JW0627,JW1431,JW2382,JW2789,JW3127,JW5595,JW4131,JW2169,JW2238,JW2296,JW2358,JW2432
11,dacA,ydcP,ypdF,ptr,yhbU,yifK,hflX,yejG,yfaD,yfcD,yfdR,eutL
12,JW0840,JW1489,JW2476,JW2840,JW3149,JW3670,JW4132,JW2219,JW5964,JW2322,JW2372,JW2435
13,potH,pqqL,hyfR,ygeY,dacB,dgoK,hflK,yfaP,ypaA,yfcL,yfdX,eutA
14,JW0866,JW1755,JW2507,JW2903,JW3203,JW3495,JW4133,JW2220,JW2239,JW2330,JW2387,JW2443
15,clpA,sppA,pepB,yggG,degQ,yhjJ,hflC,yfaQ,yfaU,yfcP,ypeC,eutT
0,JW2444,JW2570,JW2611,JW2647,JW1560,JW1618,JW1695,JW1782,JW1835,JW1914,JW2099,JW0976
1,eutQ,yfiM,yfjN,ygaM,ydfX,ydgK,ydiE,yoaF,yebE,yedE,yehE,gnsA
2,JW2445,JW2584,JW2614,JW2658,JW1563,JW1631,JW1697,JW1786,JW1837,JW1940,JW2105,JW0984
3,eutP,yfiR,yfjQ,ygaH,ydfA,ydhA,ydiV,yeaR,yebG,yodC,yehI,cbpM
4,JW2446,JW2600,JW2623,JW2702,JW1565,JW1637,JW1711,JW1800,JW1857,JW1946,JW2106,JW0986
5,ypfE,yfjG,yfjW,ygbA,ydfC,ydhK,ydiY,yoaH,yecE,yedR,yehK,yccE
6,JW2450,JW2603,JW2624,JW2719,JW1567,JW1657,JW1715,JW1809,JW1891,JW1988,JW2108,JW0988
7,ypfG,yfjH,yfjX,ygbE,ydfD,ydhR,yniB,yobD,yecJ,yeeW,yehM,yccJ
8,JW2457,JW2605,JW2627,JW2725,JW1575,JW1658,JW1722,JW1814,JW1892,JW1990,JW2110,JW1006
9,ypfN,yfjI,ypjF,ygbT,ynfB,ydhS,chbG,yebO,yecR,yeeA,yehQ,ycdP
10,JW2504,JW2608,JW2631,JW2726,JW1590,JW1659,JW1749,JW1828,JW1894,JW1995,JW2112,JW1034
11,yfhM,yfjK,ygaR,ygcH,ydgD,ydhT,ynjH,yebY,yecH,yeeE,yehS,mdoC
12,JW2520,JW2609,JW2645,JW1547,JW1599,JW1662,JW1766,JW1829,JW1900,JW2058,JW5970,JW1050
13,hcaT,yfjL,ygaW,ydfR,ydgC,ydhW,yeaC,yebZ,yecF,yegL,yccV,yceB
14,JW2539,JW2610,JW2646,JW5909,JW1617,JW1675,JW1776,JW1832,JW1913,JW2095,JW0968,JW1054
15,yfhG,yfjM,ygaC,ydfU,ydgT,ydiH,yeaK,yobB,yedD,yehA,ymcB,yceH
0,JW1090,JW1154,JW1251,JW1341,JW1377,JW1447,JW1534,JW0282,JW0355,JW0400,JW0516,JW0594
1,ycfL,ymgC,yciG,ydaC,ynbE,yncE,ydfZ,ykgJ,yaiP,yajD,ybcI,ybdM
2,JW1098,JW1167,JW1265,JW1346,JW1408,JW1452,JW1539,JW0284,JW0356,JW0455,JW0535,JW0595
3,ycfR,ycgK,yciN,ydaE,ynbD,ydcD,tfaQ,yagW,yaiS,ybaM,ybcN,ybdN
4,JW1101,JW1183,JW1288,JW1349,JW1411,JW1453,JW1545,JW0286,JW0366,JW0457,JW0537,JW0638
5,ycfT,ycgR,ymjA,ydaF,ydcF,yncI,ydfP,yagY,yaiV,ybaN,ybcO,ybeL
6,JW1133,JW1196,JW1319,JW1353,JW1416,JW1456,JW0239,JW0287,JW0369,JW0471,JW0539,JW0640
7,ymfL,ychH,mpaA,ydaT,ydcA,ydcE,ykfB,yagZ,yaiW,ybaP,ybcQ,ybeR
8,JW1134,JW1204,JW5960,JW1354,JW1424,JW1468,JW0259,JW0311,JW0370,JW0489,JW0556,JW0641
9,ymfM,ychQ,ymjC,ydaU,ydcK,yddL,yagB,yahE,yaiY,ybbD,ybcH,djlB
10,JW1136,JW1247,JW5804,JW1359,JW1432,JW1469,JW0270,JW0313,JW0380,JW0503,JW0562,JW0643
11,ymfR,yciC,ycjY,ynaK,yncJ,yddG,yagJ,yahG,yaiA,ylbA,cusF,ybeU
12,JW1137,JW1249,JW1326,JW1360,JW1433,JW1516,JW0271,JW0321,JW0382,JW0508,JW0569,JW0667
13,ymfO,yciE,ynaJ,ydaY,ydcQ,yneG,yagK,yahO,yaiE,ylbE,ybdJ,ybfM
14,JW1139,JW1250,JW1334,JW1376,JW1441,JW1520,JW0281,JW0349,JW0394,JW0509,JW0591,JW0691
15,ymfQ,yciF,ydaL,ydbH,ydcY,yneK,yagU,yaiO,yajB,ylbF,ybdD,ybfB
0,JW0693,JW0827,JW1004,JW1205,JW1529,JW1989,JW2340,JW2763,JW0133,JW0225,JW2242,JW0642
1,ybfC,ybjH,ycdB,ychA,ydeI,yeeX,yfcZ,yqcC,yadL,ykfJ,yfaX,ybeT
2,JW0725,JW0834,JW1018,JW1240,JW1606,JW2139,JW2346,JW2777,JW0159,JW0229,JW2455,JW0703
3,ybgE,ybjC,ycdY,yciU,ydgA,yeiB,yfdG,ygdE,yaeH,frsA,yffB,ybgL
4,JW0736,JW0837,JW1043,JW1243,JW1623,JW2174,JW2424,JW0004,JW0185,JW0234,JW2459,JW0903
5,ybgS,ybjN,yceI,yciI,rsxG,yejK,yfeX,yaaX,yaeP,ykfI,ypfI,ycbC
6,JW0773,JW0842,JW1044,JW1271,JW1714,JW2175,JW2508,JW0012,JW0186,JW0235,JW2527,JW1574
7,ybhP,ybjO,yceJ,yciS,yniA,yejL,yfhJ,yaaI,yaeQ,yafW,yphA,ynfA
8,JW0783,JW0860,JW1074,JW1314,JW1781,JW2265,JW2599,JW0099,JW0203,JW5956,JW2662,JW1778
9,ybiA,ybjD,yceD,ycjX,yeaO,yfbK,yfjF,yacF,yafS,ykfH,luxS,yeaL
10,JW0787,JW0902,JW1114,JW1315,JW1938,JW2292,JW2664,JW0113,JW0206,JW1669,JW2782,JW1916
11,ybiJ,ycbJ,ycfD,ycjF,yedP,yfbV,yqaA,yacH,yafT,sufE,ygdK,yedK
12,JW0788,JW0924,JW1140,JW1419,JW1941,JW2298,JW2707,JW0118,JW0214,JW5281,JW0348,JW1945
13,ybiI,ycbT,ycfK,ydcJ,yedI,yfcF,ygbK,yacC,yafK,ydjM,frmR,yedJ
14,JW0805,JW0925,JW1177,JW5961,JW1958,JW2328,JW2738,JW0132,JW0223,JW1984,JW0378,JW2086
15,ybiU,ycbU,ycgB,yncK,yeeI,yfcN,ygcP,yadK,yafO,yeeS,yaiI,yegU
0,JW2092,JW0215,JW1483,JW2641,JW0491,JW0861,JW1853,JW1762,JW2708,JW1308,JW1106,JW0433
1,yohL,yafQ,ddpX,yqaE,ybbB,ybjX,yebC,ydjI,ygbL,ycjS,cobB,ybaW
2,JW2129,JW0277,JW1619,JW2778,JW0493,JW0889,JW1942,JW2670,JW0756,JW1333,JW1318,JW0726
3,yohJ,yagQ,rsxA,ygdD,allA,ycaP,yedA,ygaD,ybhB,abgR,ycjG,ybgC
4,JW2130,JW0501,JW1626,JW0115,JW0732,JW0900,JW1964,JW1017,JW1327,JW2521,JW2241,JW1510
5,yohK,ybbY,ydgR,yacL,ybgF,ycaR,yeeN,ycdX,uspE,hcaR,yfaW,lsrF
6,JW2148,JW0504,JW1632,JW0126,JW0750,JW0908,JW2230,JW1258,JW2324,JW2715,JW2501,JW2266
7,yeiJ,allC,ydhH,yadE,ybhE,ycbB,yfaE,yciV,yfcA,truD,yfgB,yfbL
8,JW2151,JW0570,JW1696,JW0218,JW0752,JW0909,JW0080,JW1674,JW2808,JW0182,JW2575,JW0191
9,yeiM,ybdK,ydiU,yafM,ybhH,ycbK,mraW,sufA,ygeA,yaeR,yfiH,yaeB
10,JW2496,JW0699,JW1821,JW0224,JW0821,JW0942,JW0656,JW1754,JW0154,JW0385,JW2592,JW0403
11,yfgL,ybgH,yebR,yafP,yliI,yccR,ybeY,ydjA,btuF,mak,ypjD,ybaD
12,JW2563,JW0858,JW2145,JW0384,JW0831,JW0944,JW0995,JW1767,JW0276,JW0770,JW2709,JW0850
13,yfiD,ybjE,yeiH,rdgC,ybjL,yccF,ycdK,yeaA,yagP,ybhM,ygbM,ybjQ
14,JW0153,JW0865,JW2371,JW0472,JW0851,JW1003,JW1530,JW2512,JW0763,JW1105,JW0079,JW0997
15,yadS,clpS,frc,ybaQ,ybjR,ycdO,ydeJ,iscA,ybhK,ycfX,mraZ,ycdM
0,JW1002,JW0236,JW1032,JW2062,JW2245,JW2319,JW2488,JW2635,JW2748,JW2680,JW1593,JW1150
1,ycdN,ykfG,ymdB,mdtD,yfaO,yfcJ,yfgF,ygaF,ygcF,norV,ydgG,ycgF
2,JW1274,JW0247,JW1245,JW2070,JW2248,JW2347,JW2500,JW2642,JW2765,JW0497,JW0977,JW1168
3,yciH,insO,yciA,yegS,yfbF,yfdH,yfgA,ygaV,yqcD,glxR,yccM,ycgL
4,JW1684,JW0260,JW1435,JW2119,JW2251,JW2378,JW2518,JW2643,JW2798,JW1682,JW0994,JW1193
5,ydiF,yagA,ydcS,yehZ,arnT,ypdB,yfhR,ygaP,nudH,ydiB,rarA,ycgV
6,JW1787,JW0278,JW1459,JW2147,JW2258,JW2379,JW2532,JW2655,JW2800,JW2128,JW1007,JW1210
7,yeaS,yagR,yddE,yeiI,yfbB,ypdC,yphF,ygaX,ygdQ,dusC,ycdQ,ychN
8,JW1890,JW0279,JW1994,JW2161,JW2289,JW2386,JW2542,JW2665,JW2803,JW2706,JW1042,JW1211
9,yecI,yagS,yeeD,yeiR,yfbS,yfeO,yfhD,yqaB,ygeD,ygbJ,yceA,ychP
10,JW2562,JW0589,JW2012,JW2165,JW2295,JW2420,JW2545,JW2681,JW0910,JW0798,JW1052,JW1221
11,yfiK,ybdB,wbbL,yejA,yfcC,yfeT,yfhH,norW,ycbL,rhtA,mdtH,ychJ
12,JW2578,JW0721,JW2052,JW2172,JW2299,JW2427,JW2559,JW2731,JW1169,JW1121,JW1086,JW1272
13,yfiA,mngB,yegE,yejH,yfcG,ypeA,yfiC,ygcB,ycgM,ymfC,ycfH,yciM
14,JW2657,JW0888,JW2061,JW2227,JW2301,JW2451,JW2568,JW2746,JW1457,JW1261,JW1120,JW1278
15,ygaZ,ycaO,mdtC,yfaL,yfcH,yffH,yfiQ,yqcE,yddH,rluB,ymfB,gmr
0,JW1291,JW1402,JW1646,JW1747,JW1896,JW2761,JW1551,JW0300,JW0434,JW0655,JW0777,JW0819
1,puuD,ydbA,ydhD,ynjF,yecA,yqcA,ydfT,ykgF,ybaX,ybeX,ybhS,yliG
2,JW1292,JW1405,JW1652,JW1757,JW1915,JW2791,JW0006,JW0307,JW0435,JW0659,JW0779,JW0822
3,puuR,ynbA,ydhC,pncA,yedF,ppdC,yaaJ,yahA,ybaE,ubiF,ybhG,yliJ
4,JW1303,JW1430,JW1655,JW1774,JW1917,JW0527,JW0066,JW0312,JW0444,JW0701,JW0785,JW0829
5,ycjN,ydcN,mdtK,yeaI,yedL,ybcD,thiP,yahF,ybaZ,ybgJ,ybiB,ybjJ
6,JW1309,JW1434,JW1664,JW1802,JW1980,JW0543,JW0068,JW0350,JW0460,JW0702,JW0801,JW0875
7,ycjT,ydcR,ydhY,yeaB,yoeE,essD,sgrR,yaiX,ybaB,ybgK,mntR,ycaJ
8,JW1323,JW1437,JW1680,JW1805,JW2649,JW1361,JW0187,JW0373,JW0467,JW0749,JW0803,JW0880
9,ynaI,ydcU,ydiM,yoaE,nrdI,ynaA,yaeJ,yaiB,ybaL,ybhA,ybiS,ycaC
10,JW1336,JW1486,JW5274,JW1842,JW2659,JW5904,JW0200,JW0376,JW0470,JW0753,JW0806,JW0881
11,ydaN,yddW,ydiN,yebK,mprA,lomR,yafE,yaiC,ybaK,ybhI,ybiV,ycaD
12,JW1338,JW1527,JW1686,JW1859,JW2704,JW1366,JW0213,JW0397,JW0566,JW0771,JW0817,JW0892
13,ydaO,ydeE,ydiP,yecO,pphB,stfR,yafJ,yajC,ybdG,ybhN,yliE,ycaL
14,JW5802,JW1636,JW1716,JW1860,JW2752,JW1540,JW0255,JW0432,JW0626,JW0772,JW0818,JW0931
15,ydbA,ydhJ,yniC,yecP,mazG,stfQ,afuB,ybaV,ybeD,ybhO,yliF,ycbY
0,JW5898,JW2124,JW2376,JW2615,JW0184,JW1823,JW2383,JW3402,JW0216,JW0474,JW0863,JW1403
1,yccW,yohD,yfdZ,yfjR,rof,yebT,ypdG,yhhW,dinJ,ybaS,macB,ydbC
2,JW0964,JW2125,JW2438,JW2619,JW0210,JW1936,JW2411,JW0005,JW0308,JW0534,JW0883,JW1446
3,yccC,yohF,eutJ,yfjU,ivy,dsrB,pdxK,yaaA,yahB,ybcM,ycaN,yncD
4,JW2032,JW2153,JW2516,JW5922,JW0436,JW2133,JW2422,JW0010,JW0309,JW0592,JW0884,JW1498
5,wcaJ,yeiC,yfhQ,ypjL,cof,yeiT,murP,yaaW,yahC,ybdH,ycaK,ydeS
6,JW2035,JW2160,JW2522,JW2705,JW0536,JW2164,JW2440,JW0065,JW0317,JW0645,JW0938,JW1505
7,wcaI,yeiQ,hcaE,ygbI,ninE,rtn,cchB,thiQ,yahK,hscC,ycbZ,ydeW
8,JW2045,JW2166,JW2546,JW2736,JW0600,JW5378,JW2441,JW0131,JW0360,JW0673,JW0967,JW1507
9,wzc,yejB,yfhL,ygcN,uspG,dedD,cchA,yadC,tauD,ybfF,ymcA,lsrC
10,JW2049,JW2168,JW2561,JW2737,JW0605,JW2314,JW2515,JW0137,JW0424,JW0735,JW1194,JW1508
11,asmA,yejF,yfiE,ygcO,citG,dedA,iscR,yadN,yajG,zitB,ychF,lsrD
12,JW2093,JW2243,JW2565,JW2781,JW0619,JW2318,JW2640,JW5892,JW0437,JW0835,JW1276,JW1509
13,yohM,yfaY,yfiF,csdA,crcB,flk,ygaU,yadB,ybaO,nfsA,yciT,lsrB
14,JW2118,JW2339,JW2586,JW2833,JW0697,JW2381,JW3067,JW0193,JW0443,JW0862,JW1372,JW1517
15,yehY,yfcY,yfiB,ygeR,ybgA,ypdE,yqjB,metQ,ybaY,macA,ydbK,yneH
0,JW1519,JW1639,JW1741,JW1968,JW0923,JW2329,JW0141,JW0786,JW3331,JW1627,JW2728,JW0274
1,yneJ,ydhF,ydjZ,erfK,ycbS,yfcO,dksA,ybiC,cysG,gst,ygcJ,yagN
2,JW1533,JW1649,JW1759,JW1983,JW0966,JW2479,JW2511,JW3547,JW1794,JW3914,JW2766,JW0302
3,ydfH,ydhP,ydjF,yeeR,yccZ,yfgC,hscB,yiaK,fadD,katG,ygdH,ykgH
4,JW1535,JW1672,JW1760,JW0054,JW1020,JW2618,JW0426,JW0505,JW0008,JW3879,JW2801,JW0498
5,ydfI,sufC,ydjG,djlA,csgG,yfjT,tig,allD,mog,sodA,ygdR,ybbV
6,JW1546,JW1688,JW1763,JW0173,JW1021,JW2876,JW1875,JW3976,JW4011,JW1648,JW2819,JW0507
7,ydfQ,ydiR,ydjJ,hlpA,csgF,pepP,tar,aceK,qor,sodB,ygeG,ylbE
8,JW1558,JW1689,JW1770,JW0521,JW1374,JW3183,JW5604,JW1772,JW4130,JW1638,JW2820,JW0532
9,flxA,ydiS,yeaE,sfmD,hslJ,yhcD,rep,yeaG,hfq,sodC,ygeH,ybcK
10,JW1588,JW1690,JW1779,JW0557,JW1677,JW3891,JW1849,JW1827,JW1667,JW1317,JW0207,JW0548
11,ynfM,ydiT,yeaM,nfrA,ydiJ,yiiQ,ruvB,pphA,lpp,tpx,yafU,ybcW
12,JW1592,JW1732,JW1836,JW0800,JW1956,JW4110,JW3786,JW3140,JW0599,JW1329,JW0222,JW0551
13,mdtJ,spy,yebF,ybiP,yodA,blc,uvrD,argG,ahpF,ogt,yafN,ybcY
14,JW1598,JW1739,JW1949,JW0849,JW2030,JW1092,JW1279,JW1241,JW3467,JW0217,JW0273,JW0552
15,folM,ydjX,yedS,ybjP,wcaK,ycfN,rnb,cls,gor,yafL,yagM,ylcE
0,JW0658,JW1147,JW1369,JW1742,JW2269,JW2802,JW2867,JW2895,JW2934,JW2990,JW3002,JW3027
1,miaB,elbA,ynaE,ynjA,yfbO,tas,yqfA,yggC,yqgA,ygiU,nudF,htrG
2,JW0676,JW1148,JW1466,JW1815,JW0601,JW2835,JW2868,JW2896,JW2935,JW5502,JW3006,JW3031
3,ybfP,ycgX,yddJ,yobG,ybdR,xdhB,yqfB,yggD,yghD,ygiV,ygiC,ygiH
4,JW0724,JW1152,JW1467,JW1918,JW1222,JW2841,JW2870,JW2897,JW2938,JW2992,JW3007,JW3035
5,ybgT,ymgA,yddK,yedN,rssA,hyuA,ygfF,yggF,yghG,ygiW,zupT,ygjE
6,JW0832,JW1153,JW1503,JW5912,JW1306,JW2843,JW2882,JW2921,JW2952,JW2995,JW3008,JW3040
7,ybjM,ymgB,ydeK,yedN,ycjQ,yqeB,yqfE,yggV,yghR,ygiZ,ygiE,ygjF
8,JW1045,JW1156,JW1557,JW1920,JW1765,JW2849,JW2887,JW2922,JW2954,JW2996,JW3011,JW3041
9,yceO,ymgF,ydfV,yedM,ydjL,xdhD,ygfH,yggW,yghT,mdaB,ygiL,yqjH
10,JW1123,JW1162,JW1635,JW1953,JW3109,JW2864,JW2889,JW2923,JW2966,JW2997,JW3022,JW3042
11,ymfD,ycgI,ydhI,yedX,agaD,ygfX,yggE,yggM,yghW,ygiN,yqiJ,yqjI
12,JW1128,JW1185,JW1713,JW1998,JW2261,JW2865,JW2890,JW2927,JW2970,JW2999,JW3023,JW3045
13,ymfH,ycgY,ydiZ,yeeZ,elaB,ygfY,argO,yggH,yghZ,yqiA,yqiK,ygjH
14,JW1130,JW1352,JW1719,JW2268,JW2262,JW2866,JW2891,JW2929,JW2985,JW3001,JW3026,JW5512
15,ymfJ,ydaS,ydjO,yfbN,elaA,ygfZ,mscS,yggX,sufI,yqiB,ygiF,ygjI
0,JW3050,JW3069,JW3114,JW3129,JW3164,JW3190,JW3231,JW3310,JW3339,JW3377,JW3430,JW3479
1,ygjJ,yqjD,yraK,yhbW,kdsD,yhcH,yhdU,slyX,yhfS,gntY,yhhF,hdeD
2,JW3051,JW3070,JW3116,JW3132,JW3165,JW3201,JW3235,JW3316,JW3344,JW3397,JW3432,JW3482
3,ygjK,yqjE,yraM,nlpI,kdsC,yhcM,yhdV,yheT,yhfX,yhgN,yhhM,mdtF
4,JW3053,JW3073,JW3118,JW3147,JW3170,JW3208,JW3241,JW3317,JW3351,JW3403,JW3433,JW3484
5,ygjM,yqjG,yraO,yhbY,yhbH,yhcO,yrdB,yheU,damX,yhhX,yhhN,gadX
6,JW3054,JW3074,JW3119,JW3151,JW3172,JW3209,JW3245,JW3318,JW3356,JW3405,JW3459,JW3486
7,ygjN,yhaH,yraP,yhbE,yhbJ,aaeB,smg,prkB,yrfB,yhhY,yhiN,yhjA
8,JW3057,JW3075,JW3120,JW3159,JW3174,JW3217,JW3255,JW3319,JW3357,JW3406,JW3463,JW3488
9,ygjQ,yhaI,yraQ,yrbC,yrbL,yhdE,yhdN,yhfA,yrfC,yhhZ,yhiP,yhjB
10,JW3060,JW3097,JW3123,JW3160,JW3182,JW3222,JW3305,JW3325,JW3360,JW3411,JW3466,JW3490
11,sstT,garD,yhbP,yrbD,yhcA,yhdH,yheL,yhfG,nudE,yrhB,yhiR,yhjD
12,JW3061,JW3099,JW3124,JW3161,JW3188,JW3225,JW3306,JW3327,JW3365,JW3413,JW3475,JW3491
13,ygjV,yhaV,yhbQ,yrbE,yhcF,yhdT,yheM,tsgA,yhgE,yhhA,yhiF,yhjE
14,JW3066,JW3111,JW3125,JW3163,JW3189,JW3228,JW3307,JW3332,JW3374,JW3424,JW3478,JW3503
15,yqjA,yraH,yhbS,yrbG,yhcG,dusB,yheN,yhfL,yhgA,yhhK,hdeA,yhjR
0,JW3506,JW3546,JW3576,JW3652,JW3692,JW3779,JW3843,JW3859,JW3916,JW3983,JW4008,JW4029
1,bcsG,yiaJ,yibT,yidH,yieG,cyaY,yihL,yiiD,yijF,yjbD,yjbM,yjcH
2,JW3508,JW3549,JW3577,JW3653,JW3693,JW3783,JW3844,JW3867,JW3927,JW3986,JW4017,JW4039
3,yhjV,yiaM,yibL,yidI,yieH,yigA,yihM,yiiG,yijP,yjbE,yjbQ,yjcO
4,JW3519,JW3551,JW3619,JW3654,JW3694,JW3785,JW3845,JW3871,JW3936,JW3988,JW4018,JW4041
5,yiaC,yiaO,yicC,yidJ,yieI,yigB,yihN,frvA,yijD,yjbG,yjbR,yjcP
6,JW5657,JW3558,JW3630,JW3655,JW3695,JW3790,JW3846,JW3886,JW5548,JW3989,JW4022,JW4043
7,yiaD,yiaV,yicH,yidK,cbrC,yigF,ompL,fieF,nudC,yjbH,yjcC,yjcR
8,JW3524,JW3559,JW3633,JW3674,JW3733,JW3809,JW3849,JW3892,JW3963,JW3990,JW4025,JW4069
9,yiaG,yiaW,setC,yidA,hsrA,rmuC,yihQ,yiiR,yjaG,yjbA,yjcD,phnA
